"name","screen_name","text","polarity","subjectivity","label"
"Troy Robinson","DinobotSnarl","RT @BraddJaffy: Obama weighs in on Trump's ""conspiracy"" speech — ""COME ON, MAN!"" https://t.co/x9nJrpnuRE","0.00","0.00","NEGATIVE"
"deplorable teresa","altum_teresa","RT @larryelder: ""Wikileaks emails REVEALS Hillary campaign pushing Muslim Obama narrative!""
https://t.co/11MgelSPKJ","0.00","0.00","NEGATIVE"
"Oobed","oobed","RT @PrisonPlanet: Michelle Obama: ""I can't stop thinking about this. It has shaken me to my core.""

Funny, cause that's how I feel when I w…","0.25","1.00","POSITIVE"
"Deplorable Axle","axlejazzo","RT @WDFx2EU7: Saudi Crown Prince Rushed To WH to Meet With Obama. NO PRESS ALLOWED! https://t.co/WmP1mnss9s","0.00","0.00","NEGATIVE"
